"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NEET","20_24","PC_AGE","A","2018",11.860219,
"AUS","NEET","20_24","PC_AGE","A","2019",11.035892,
"AUS","NEET","20_24","PC_AGE","A","2020",15.876476,
"AUT","NEET","20_24","PC_AGE","A","2018",12.456524,
"AUT","NEET","20_24","PC_AGE","A","2019",10.883707,
"AUT","NEET","20_24","PC_AGE","A","2020",13.82,
"BEL","NEET","20_24","PC_AGE","A","2018",14.60678,
"BEL","NEET","20_24","PC_AGE","A","2019",15.406888,
"BEL","NEET","20_24","PC_AGE","A","2020",14.038448,
"CAN","NEET","20_24","PC_AGE","A","2018",13.406408,
"CAN","NEET","20_24","PC_AGE","A","2019",12.552653,
"CAN","NEET","20_24","PC_AGE","A","2020",14.038699,
"CZE","NEET","20_24","PC_AGE","A","2018",8.8197355,
"CZE","NEET","20_24","PC_AGE","A","2019",8.9284897,
"CZE","NEET","20_24","PC_AGE","A","2020",9.584341,
"DNK","NEET","20_24","PC_AGE","A","2018",13.482139,
"DNK","NEET","20_24","PC_AGE","A","2019",12.712753,
"DNK","NEET","20_24","PC_AGE","A","2020",13.795696,
"FIN","NEET","20_24","PC_AGE","A","2018",14.195583,
"FIN","NEET","20_24","PC_AGE","A","2019",12.903226,
"FIN","NEET","20_24","PC_AGE","A","2020",15.231788,
"FRA","NEET","20_24","PC_AGE","A","2018",20.306179,
"FRA","NEET","20_24","PC_AGE","A","2019",19.492943,
"FRA","NEET","20_24","PC_AGE","A","2020",18.991467,
"DEU","NEET","20_24","PC_AGE","A","2018",10.387557,
"DEU","NEET","20_24","PC_AGE","A","2019",8.8471212,
"GRC","NEET","20_24","PC_AGE","A","2018",22.852537,
"GRC","NEET","20_24","PC_AGE","A","2019",22.047745,
"GRC","NEET","20_24","PC_AGE","A","2020",18.742828,
"HUN","NEET","20_24","PC_AGE","A","2018",15.442274,
"HUN","NEET","20_24","PC_AGE","A","2019",15.490126,
"HUN","NEET","20_24","PC_AGE","A","2020",15.5643,
"ISL","NEET","20_24","PC_AGE","A","2018",7.5818911,
"ISL","NEET","20_24","PC_AGE","A","2019",6.6372008,
"ISL","NEET","20_24","PC_AGE","A","2020",10.317203,
"IRL","NEET","20_24","PC_AGE","A","2018",13.551468,
"IRL","NEET","20_24","PC_AGE","A","2019",12.954085,
"IRL","NEET","20_24","PC_AGE","A","2020",12.666578,
"ITA","NEET","20_24","PC_AGE","A","2018",28.283504,
"ITA","NEET","20_24","PC_AGE","A","2019",28.457134,
"ITA","NEET","20_24","PC_AGE","A","2020",27.425533,
"LUX","NEET","20_24","PC_AGE","A","2018",10.061987,
"MEX","NEET","20_24","PC_AGE","A","2018",23.15937,
"MEX","NEET","20_24","PC_AGE","A","2019",22.944685,
"MEX","NEET","20_24","PC_AGE","A","2020",24.805059,
"NLD","NEET","20_24","PC_AGE","A","2018",7.6713614,
"NLD","NEET","20_24","PC_AGE","A","2019",7.435945,
"NLD","NEET","20_24","PC_AGE","A","2020",8.1621475,
"NZL","NEET","20_24","PC_AGE","A","2018",12.415541,
"NZL","NEET","20_24","PC_AGE","A","2019",13.904705,
"NZL","NEET","20_24","PC_AGE","A","2020",14.667459,
"NOR","NEET","20_24","PC_AGE","A","2018",10.264264,
"NOR","NEET","20_24","PC_AGE","A","2019",8.7435341,
"NOR","NEET","20_24","PC_AGE","A","2020",10.023391,
"POL","NEET","20_24","PC_AGE","A","2018",14.48907,
"POL","NEET","20_24","PC_AGE","A","2019",14.003207,
"POL","NEET","20_24","PC_AGE","A","2020",15.365002,
"PRT","NEET","20_24","PC_AGE","A","2018",16.786358,
"PRT","NEET","20_24","PC_AGE","A","2019",15.333426,
"PRT","NEET","20_24","PC_AGE","A","2020",15.541712,
"SVK","NEET","20_24","PC_AGE","A","2018",14.683599,
"SVK","NEET","20_24","PC_AGE","A","2019",11.769904,
"SVK","NEET","20_24","PC_AGE","A","2020",13.771465,
"ESP","NEET","20_24","PC_AGE","A","2018",22.014969,
"ESP","NEET","20_24","PC_AGE","A","2019",21.903513,
"ESP","NEET","20_24","PC_AGE","A","2020",21.72349,
"SWE","NEET","20_24","PC_AGE","A","2018",10.001472,
"SWE","NEET","20_24","PC_AGE","A","2019",8.9781923,
"SWE","NEET","20_24","PC_AGE","A","2020",10.586082,
"CHE","NEET","20_24","PC_AGE","A","2018",10.021872,
"CHE","NEET","20_24","PC_AGE","A","2019",8.0662355,
"CHE","NEET","20_24","PC_AGE","A","2020",8.3903246,
"TUR","NEET","20_24","PC_AGE","A","2018",31.21693,
"TUR","NEET","20_24","PC_AGE","A","2019",33.295712,
"GBR","NEET","20_24","PC_AGE","A","2018",14.194826,
"GBR","NEET","20_24","PC_AGE","A","2019",13.591121,
"GBR","NEET","20_24","PC_AGE","A","2020",14.173528,
"USA","NEET","20_24","PC_AGE","A","2018",14.64871,
"USA","NEET","20_24","PC_AGE","A","2019",14.486988,
"USA","NEET","20_24","PC_AGE","A","2020",14.674225,
"CHL","NEET","20_24","PC_AGE","A","2020",26.108511,
"EST","NEET","20_24","PC_AGE","A","2018",12.211666,
"EST","NEET","20_24","PC_AGE","A","2019",10.77473,
"EST","NEET","20_24","PC_AGE","A","2020",13.714321,
"ISR","NEET","20_24","PC_AGE","A","2018",17.022766,
"ISR","NEET","20_24","PC_AGE","A","2019",18.177565,
"ISR","NEET","20_24","PC_AGE","A","2020",17.616419,
"SVN","NEET","20_24","PC_AGE","A","2018",12.027833,
"SVN","NEET","20_24","PC_AGE","A","2019",8.6841755,
"SVN","NEET","20_24","PC_AGE","A","2020",11.640663,
"OAVG","NEET","20_24","PC_AGE","A","2018",15.427958,
"OAVG","NEET","20_24","PC_AGE","A","2019",14.97879,
"OAVG","NEET","20_24","PC_AGE","A","2020",16.097354,
"LVA","NEET","20_24","PC_AGE","A","2018",14.020249,
"LVA","NEET","20_24","PC_AGE","A","2019",13.871192,
"LVA","NEET","20_24","PC_AGE","A","2020",16.77173,
"COL","NEET","20_24","PC_AGE","A","2018",26.30431,
"COL","NEET","20_24","PC_AGE","A","2019",27.456076,
"COL","NEET","20_24","PC_AGE","A","2020",34.88187,
"LTU","NEET","20_24","PC_AGE","A","2018",14.584582,
"LTU","NEET","20_24","PC_AGE","A","2019",14.473471,
"LTU","NEET","20_24","PC_AGE","A","2020",17.416395,
"CRI","NEET","20_24","PC_AGE","A","2018",24.943991,
"CRI","NEET","20_24","PC_AGE","A","2019",23.034515,
"CRI","NEET","20_24","PC_AGE","A","2020",21.085546,
